Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.0051,3.58E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.0051,3.58E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.0051,3.58E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.0051,3.58E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.0051,3.58E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.0051,3.87E-11,0.0002,0.999999,0,2156.32,3.30E+06,-0.00356544,0.00237156,0.0164562,0.0170042
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.005,4.17E-11,0.0002,0.999999,0,1924.62,2.11E+06,0.0170973,-0.000286421,0.00376443,0.0175092
0.0052,1.07E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
0.0052,1.07E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
0.0052,1.07E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
0.0052,1.07E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
0.0052,1.07E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
0.0052,1.10E-10,0.0002,0.999998,0,2493.96,4.95E+06,-0.0205921,0.00358386,0.00575938,0.0216806
