x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00490709,1.67604e-05,0.000204835,0.999965,0.0,1712.81,1427070.0,0.0126418,0.00225921,-0.015095599999999999,0.0198191,4.90709,0.016760399999999998,0.204835,350,25,1.6316676143807658,1,338.22579220975695,1,99.63480628687465,4287.095727492004,0,0,0,1,2e-05
0.00491029,0.000292898,0.000303304,0.952643,0.0,1674.94,1025870.0,0.0261924,-0.0162024,-0.0186448,0.0360027,4.910290000000001,0.292898,0.303304,350,25,1.8012286546186709,1,-8794.526012124486,0,376.8866274697187,88610.81700699823,1,0,0,0,2e-05
0.00491364,0.000195453,0.000204548,0.9998700000000001,0.0,1664.56,1279160.0,0.0059778,0.000604469,-0.00746758,0.00958458,4.91364,0.195453,0.204548,350,25,3.6077784460085374,1,-7742.545126956236,0,283.09875575319654,55557.543008416484,0,0,0,0,2e-05
0.00491745,0.000281921,0.000375517,0.9053210000000002,0.0,1694.32,924770.0,0.0470697,-0.0318797,-0.0314493,0.0649687,4.9174500000000005,0.28192100000000003,0.375517,350,25,1.6638952232767164,1,-109594.29349347221,0,238.43893572093262,247615.15002080996,1,0,0,0,2e-05
0.00492501,9.99989e-05,0.000125005,0.999874,0.0,1619.32,1446550.0,0.00310755,0.000700508,-0.00310755,0.00445022,4.925009999999999,0.0999989,0.125005,350,25,1.631397063224888,1,-2942.654393818856,0,135.98504655646593,15131.275231119816,0,0,0,0,2e-05
0.00494696,0.000270946,0.000246956,0.999896,0.0,1621.42,1218570.0,0.0026576,-0.000262569,-0.00292017,0.00395717,4.946960000000001,0.27094599999999996,0.246956,350,25,3.148996730398976,1,-11066.906163906111,0,457.71532013846877,126885.4694725427,0,0,0,0,2e-05
0.00495,5e-05,0.00015,0.999942,0.0,1631.17,1489850.0,0.00289521,0.000700508,-0.00359572,0.00466928,4.95,0.05,0.15,350,25,2.042373088452325,1,-3425.470263649734,0,154.1329400137931,18729.42212594724,0,0,0,0,2e-05
0.00495,0.00015,0.00015,0.9997469999999999,0.0,1590.45,1399920.0,0.0016599499999999999,0.000350254,-0.00130969,0.00214322,4.95,0.15,0.15,350,25,3.7422151133883137,1,-1135.577587767857,0,274.3350597358548,39901.017675673225,0,0,0,0,2e-05
0.00495,0.00035,0.000345056,0.931012,0.0,1624.24,1001880.0,0.0190483,-0.0116547,-0.00996786,0.0244546,4.95,0.35,0.345056,350,25,2.0712182806850015,1,17229.297584349086,1,620.3079900389237,157932.40608436655,1,0,0,0,2e-05
0.00495,0.00035,0.00035,0.8106670000000001,0.0,1671.1,811026.0,0.057145,-0.0349641,-0.029903599999999995,0.0733639,4.95,0.35,0.35,350,25,1.6735692969529166,1,-81538.426292891,0,449.8114811201727,264242.03685954376,1,0,0,0,2e-05
0.00495003,0.000249988,0.00015,0.999849,0.0,1770.55,1354710.0,0.0205806,0.006522849999999999,-0.0167553,0.0273285,4.95003,0.249988,0.15,350,25,2.7390144712300755,1,-5090.9058285572355,0,262.21707751024985,44560.70952612266,0,0,0,0,2e-05
0.00495785,0.00035,0.000295498,0.949628,0.0,1756.8699999999997,1193240.0,0.0493155,-0.00124895,-0.0341203,0.0599814,4.95785,0.35,0.295498,350,25,1.8415725556279985,1,-33942.359039720686,0,234.96069016667184,95487.98104124075,1,0,0,0,2e-05
0.00497501,0.000100004,7.5005e-05,0.999856,0.0,1728.4000000000003,1527790.0,0.0108759,0.00294836,-0.00906056,0.0144593,4.97501,0.100004,0.075005,350,25,1.9077248000095752,1,-1095.1133322193016,0,26.388767751298275,2538.410196154583,0,0,0,0,2e-05
0.00498533,0.000305179,0.000192168,0.999879,0.0,1716.16,1253010.0,0.0150557,0.00561717,-0.0159978,0.022675,4.985329999999999,0.305179,0.192168,350,25,3.5024741529524324,1,-6885.431204560053,0,569.5179742133379,175946.22388515217,0,0,0,0,2e-05
0.00499255,5e-05,0.00045,0.587946,0.0,1916.98,2161720.0,-0.0232177,-0.0217805,0.0234559,0.0395428,4.9925500000000005,0.05,0.45,350,25,1.854607496420985,1,-75736.490563639,0,465.17730916454616,259667.9456080619,1,0,0,0,2e-05
0.00499374,9.32396e-05,0.00045,0.587946,0.0,1916.9800000000002,2161720.0,-0.023217699999999997,-0.021780499999999998,0.0234559,0.0395428,4.99374,0.09323959999999999,0.45,350,25,1.7340333914993946,1,-96576.8264713074,0,526.3283493970791,331664.4186321417,1,0,0,0,2e-05
0.00499879,0.000201058,9.89419e-05,0.999733,0.0,1693.6799999999998,1431330.0,0.00778623,0.00291511,-0.0053794,0.00990258,4.9987900000000005,0.201058,0.0989419,350,25,4.560051784294122,1,693.7927916501953,1,82.05237873771762,1978.7108449585362,0,0,0,0,2e-05
0.00499879,0.000201058,9.8942e-05,0.999733,0.0,1693.68,1431330.0,0.007786230000000001,0.00291511,-0.0053794,0.00990258,4.9987900000000005,0.201058,0.098942,350,25,4.560060341729064,1,693.7942636665088,1,82.05247499940184,1978.7157994307138,0,0,0,0,2e-05
0.00499947,1.40005e-05,0.000395705,0.862649,0.0,1944.1200000000001,2167370.0,-0.00191696,-0.00511049,-0.018290400000000002,0.0190874,4.99947,0.014000499999999999,0.395705,350,25,1.8444125311073347,1,-2232.003728135358,0,193.54749579966315,23194.32402143103,1,0,0,1,2e-05
0.005,8.82164e-10,0.0003,0.999982,0.0,1918.03,1958490.0,0.0161831,0.00497308,-0.0347026,0.0386121,5.0,8.821640000000001e-07,0.3,350,25,2.3258000492200743,1,15893.090518784502,1,395.44914756328745,46403.83311669634,0,0,0,1,2e-05
0.005,2.64659e-09,0.0002,0.999947,0.0,1836.68,1662600.0,0.0200229,0.00516313,-0.0233424,0.03118391666666667,5.0,2.64659e-06,0.2,350,25,2.240387309679127,1,2207.7990973202177,1,239.70272106653147,24313.099048709264,0,0,0,1,2e-05
0.00500024,0.000298407,0.000394938,0.899312,0.0,1764.8499999999997,1221940.0,0.0761781,-0.0108721,-0.042451800000000005,0.0878833,5.000240000000001,0.298407,0.394938,350,25,2.016262266978426,1,-164425.14260338806,0,500.12125609968064,453910.92060813727,1,0,0,0,2e-05
