metric,n_top,threshold_min_in_top,centroid_x_mm,centroid_y_mm,centroid_z_mm,span_x_mm,span_y_mm,span_z_mm,rms_radius_mm,heated_frac_in_top,interface_frac_in_top,median_T_K_top,median_v_top,median_Q_top,power_W
Vmag_top5,5,0.154952,5.477296,0.056693740000000006,0.37,0.64831,0.0334687,0.19999999999999998,0.32442994979617773,0.4,1.0,2611.96,0.365373,-2225761.7326085735,350
Qpos_top5,5,53367.96825196792,5.7085040000000005,0.5057506000000002,0.17068600000000003,0.2627300000000001,0.18311100000000002,0.11179199999999999,0.12028485985958504,0.0,1.0,1724.68,0.0573882,65801.65032737178,350
Vmag_top10,10,0.130941,5.443294999999999,0.19556642999999999,0.33515439999999996,0.7659099999999999,0.44178539999999994,0.19999999999999998,0.33910612036782833,0.2,1.0,2569.5950000000003,0.15231650000000002,-398305.2300979523,350
Qpos_top10,10,45261.56416668419,5.614121,0.2544553712132,0.17477620000000002,0.46707,0.560360696014,0.19433200000000003,0.29457439326072216,0.1,0.6,2300.04,0.0230728,51993.03281457315,350
Vmag_top5,5,0.1402,5.347974,0.21032700000000001,0.2954882,0.6531799999999998,0.5,0.22744100000000003,0.3349947667008546,0.2,1.0,2084.4,0.166561,-1024837.1564544656,400
Qpos_top5,5,5714.226720572446,5.796296,0.1418241,0.1273176,0.4571100000000001,0.2922615,0.32308800000000004,0.24609474497371941,0.4,0.6,3209.9499999999994,0.0398535,9853.906507337873,400
Vmag_top10,10,0.11015800000000002,5.425868,0.24591500000000002,0.2636727,0.6652299999999993,0.5093000000000001,0.22744100000000003,0.3502799984989294,0.3,1.0,2141.84,0.139006,-833403.6255864688,400
Qpos_top10,10,2458.106694623799,5.752571999999999,0.077432623,0.05913280000635002,0.5535000000000002,0.2922615,0.32308800000000004,0.2554534185737705,0.2,0.3,2376.34,0.028136300000000003,5538.99892174016,400
