x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00480347,9.99e-05,0.000299758,0.9026710000000001,0.0,1683.95,985330.0,0.0148126,-0.024074300000000003,-0.010510200000000003,0.030157100000000003,4.80347,0.0999,0.299758,400,25,1.27617919435195,1,-56864.43069371045,0,151.50872524208273,125206.30829966135,1,0,0,0,2e-05
0.00480512,9.95e-05,0.000200534,0.999999,0.0,1649.2699999999998,1240000.0,0.00536421,-0.00238492,-0.00693721,0.00908776,4.8051200000000005,0.0995,0.200534,400,25,1.6112798730834714,1,-19402.74123275312,0,209.54349866588012,60759.72138207509,0,0,0,0,2e-05
0.00481911,0.000194077,0.000297476,0.905668,0.0,1669.0399999999997,1000000.0,0.00671348,-0.0251692,-0.0114302,0.0284466,4.819109999999999,0.194077,0.297476,400,25,1.2719420550807525,1,-39399.884272510986,0,205.1934361534281,99851.94166524746,1,0,0,0,2e-05
0.00482521,2.52e-05,0.000200104,0.999998,0.0,1655.01,1270000.0,0.0054861499999999995,-0.000545858,-0.00891143,0.010479,4.82521,0.0252,0.200104,400,25,1.4167969444166846,1,-25075.602746684322,0,163.80512907397133,63567.265648838846,0,0,0,0,2e-05
0.00482722,2.85e-05,0.000298701,0.94684,0.0,1683.4000000000003,999026.0,0.023835900000000004,-0.0153174,-0.0105896,0.0302475,4.8272200000000005,0.0285,0.298701,400,25,1.5368102844678904,1,-50338.500883888875,0,148.357748886253,111682.012595076,1,0,0,0,2e-05
0.0048277,0.00018772,0.000212247,0.999998,0.0,1626.2100000000003,1180000.0,0.00476156,-0.00457328,-0.00583874,0.00881353,4.8277,0.18772,0.212247,400,25,1.855247689095036,1,-11789.502521070743,0,257.0236142970787,56609.574195308225,0,0,0,0,2e-05
0.00483046,9.87e-05,0.000360048,0.805342,0.0,1701.09,806973.0,0.022308900000000003,-0.04267780000000001,-0.010558,0.0493006,4.8304599999999995,0.0987,0.36004800000000003,400,25,1.397348797197949,1,-61035.44891780091,0,266.52837696474415,157589.5856993322,1,0,0,0,2e-05
0.00483577,9.2e-05,0.000135773,0.999991,0.0,1591.79,1400000.0,0.00170603,0.000350552,-0.00170603,0.00243802,4.835769999999999,0.092,0.135773,400,25,1.4220884099475155,1,-3758.7718244906127,0,154.42501998205898,19441.087047210884,0,0,0,0,2e-05
0.00484593,0.000178981,0.00035,0.717004,0.0,1709.56,814327.0,0.00464831,-0.056513400000000005,-0.013788600000000002,0.0583567,4.84593,0.178981,0.35,400,25,1.3237579291183723,1,-56225.39823005156,0,476.3520541918046,225906.4362264791,1,0,0,0,2e-05
0.00485,5e-05,0.00015,0.999993,0.0,1598.09,1440000.0,0.00163502,0.000350552,-0.00198557,0.00259589,4.8500000000000005,0.05,0.15,400,25,1.686118109506762,1,-18349.55532345246,0,155.1240191501883,48730.84130555891,0,0,0,0,2e-05
0.00485,5e-05,0.00035,0.89368,0.0,1692.6199999999997,799619.0,0.0399695,-0.0288421,-0.007327539999999999,0.0498309,4.8500000000000005,0.05,0.35,400,25,1.533527767848301,1,-65582.52417580722,0,189.06984340343777,149038.75119391468,1,0,0,0,2e-05
0.00485,0.00015,0.00015,0.999987,0.0,1564.38,1370000.0,0.000888521,0.000175276,-0.000713244,0.00115278,4.8500000000000005,0.15,0.15,400,25,2.446399691464373,1,-3312.498924902182,0,287.61204335568897,47985.341591421704,0,0,0,0,2e-05
0.00485,0.00025,0.00025,0.9908909999999999,0.0,1587.58,1170000.0,0.0036538600000000005,-0.0009969,-0.00757955,0.00847314,4.8500000000000005,0.25,0.25,400,25,1.6045481072283354,1,-62554.54940248171,0,108.96568923746183,131045.85952046097,0,0,0,0,2e-05
0.00485,0.00025,0.00029126,0.981787,0.0,1619.43,1090000.0,0.007307720000000001,-0.0019938,-0.0151591,0.0169463,4.8500000000000005,0.25,0.29126,400,25,1.582133370651647,1,-79665.79763566598,0,99.2444795913323,164256.32863600913,1,0,0,0,2e-05
0.00486093,0.000222466,0.000177593,0.999996,0.0,1736.22,1230000.0,0.0161005,-0.00829189,-0.007713120000000001,0.0196843,4.860930000000001,0.222466,0.177593,400,25,2.514047326232221,1,-6567.795241752097,0,150.10222337871423,24400.92921512091,0,0,0,0,2e-05
