Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.00550506,6.57354e-05,-6.57354e-05,0.99997,0.0,1571.39,713921.0,-0.000510102,0.0,0.0,0.000510102
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00545,5e-05,-5e-05,0.999998,0.0,1569.44,646359.0,-0.000255051,0.0,0.000255051,0.000360697
0.00545,5e-05,-5e-05,0.999996,0.0,1582.55,1292720.0,-0.000510102,0.0,0.000510102,0.000721394
0.00545,5e-05,-5e-05,0.999998,0.0,1569.44,646359.0,-0.000255051,0.0,0.000255051,0.000360697
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00555,5e-05,-5e-05,0.999972,0.0,1551.11,374468.0,-0.000255051,0.0,-0.000255051,0.000360697
0.00555,5e-05,-5e-05,0.999943,0.0,1566.33,748936.0,-0.000510102,0.0,-0.000510102,0.000721394
0.00550506,6.57354e-05,-6.57354e-05,0.99997,0.0,1571.39,713921.0,-0.000510102,0.0,0.0,0.000510102
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00550506,6.57354e-05,-6.57354e-05,0.99997,0.0,1571.39,713921.0,-0.000510102,0.0,0.0,0.000510102
0.00555,5e-05,-5e-05,0.999943,0.0,1566.33,748936.0,-0.000510102,0.0,-0.000510102,0.000721394
0.0055003,4.40287e-06,3.82583e-07,0.998916,0.0,1867.94,3305030.0,-0.0141891,-0.000807833,-0.00139078,0.0142799
0.00540443,1.79953e-05,8.14485e-06,0.999015,0.0,1838.38,2925970.0,-0.0167387,-0.0008701,0.0015393,0.0168318
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00545,5e-05,-5e-05,0.999996,0.0,1582.55,1292720.0,-0.000510102,0.0,0.000510102,0.000721394
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00540443,1.79953e-05,8.14485e-06,0.999015,0.0,1838.38,2925970.0,-0.0167387,-0.0008701,0.0015393,0.0168318
0.00559534,1.43419e-05,5.01166e-06,0.998921,0.0,1861.33,2729410.0,-0.00874987,-0.000736481,-0.0035243,0.00946168
0.0055003,4.40288e-06,3.82583e-07,0.998916,0.0,1867.94,3305030.0,-0.0141891,-0.000807833,-0.00139078,0.0142799
0.00555,5e-05,-5e-05,0.999943,0.0,1566.33,748936.0,-0.000510102,0.0,-0.000510102,0.000721394
0.00550506,3.42646e-05,-6.57354e-05,0.999939,0.0,1583.85,1427840.0,-0.0010202,0.0,0.0,0.0010202
0.00555,5e-05,-5e-05,0.999943,0.0,1566.33,748936.0,-0.000510102,0.0,-0.000510102,0.000721394
0.0055003,4.40288e-06,3.82583e-07,0.998916,0.0,1867.94,3305030.0,-0.0141891,-0.000807833,-0.00139078,0.0142799
0.0052,9.99999e-05,1.07046e-07,0.998644,0.0,1697.0,2152890.0,-0.0108861,-0.00191236,0.00333436,0.0115448
0.0052,2.50809e-05,2.50809e-05,0.998943,0.0,1716.65,2191190.0,-0.0133836,-0.00135785,0.00342589,0.0138817
