Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.00530861,8.96237e-05,-0.000276605,0.999988,0.0,1582.1,1217680.0,0.00152669,0.000152124,-0.000774394,0.00171861
0.00530386,3.09882e-05,-0.000269012,0.999988,0.0,1600.4,1244250.0,0.00243866,0.000152124,-0.00108619,0.00267395
0.00525,5e-05,-0.00025,0.999987,0.0,1537.9,1185560.0,0.000376148,0.0,-0.000376148,0.000531953
0.00525,5e-05,-0.00025,0.999981,0.0,1555.34,1175680.0,0.000752296,0.0,-0.000752296,0.00106391
0.00525,5e-05,-0.00025,0.999987,0.0,1537.9,1185560.0,0.000376148,0.0,-0.000376148,0.000531953
0.00530386,3.09882e-05,-0.000269012,0.999988,0.0,1600.4,1244250.0,0.00243866,0.000152124,-0.00108619,0.00267395
0.00540036,9.96413e-05,-0.000295795,0.999994,0.0,1602.51,1293510.0,0.00238172,-1.30408e-05,-8.0636e-05,0.00238312
0.0054,2.50006e-05,-0.000274999,0.999994,0.0,1620.83,1344640.0,0.003534,-1.30408e-05,-0.000148231,0.00353713
0.00530861,8.96237e-05,-0.000276605,0.999988,0.0,1582.1,1217680.0,0.00152669,0.000152124,-0.000774394,0.00171861
0.00530386,3.09882e-05,-0.000269012,0.999988,0.0,1600.4,1244250.0,0.00243866,0.000152124,-0.00108619,0.00267395
0.00530861,8.96237e-05,-0.000276605,0.999988,0.0,1582.1,1217680.0,0.00152669,0.000152124,-0.000774394,0.00171861
0.0054,2.50006e-05,-0.000274999,0.999994,0.0,1620.83,1344640.0,0.003534,-1.30408e-05,-0.000148231,0.00353713
0.00549617,9.61692e-05,-0.000287264,0.999999,0.0,1599.09,1358340.0,0.00168796,-0.000165165,0.000774394,0.00186445
0.0055,2.50002e-05,-0.000275,0.999998,0.0,1619.17,1409590.0,0.0027612,-0.000165165,0.00109923,0.00297655
0.00540036,9.96413e-05,-0.000295795,0.999995,0.0,1602.51,1293510.0,0.00238172,-1.30408e-05,-8.0636e-05,0.00238312
0.0054,2.50006e-05,-0.000274999,0.999994,0.0,1620.83,1344640.0,0.003534,-1.30408e-05,-0.000148231,0.00353713
0.00540036,9.96413e-05,-0.000295795,0.999995,0.0,1602.51,1293510.0,0.00238172,-1.30408e-05,-8.0636e-05,0.00238312
0.0055,2.50002e-05,-0.000275,0.999998,0.0,1619.17,1409590.0,0.0027612,-0.000165165,0.00109923,0.00297655
0.00557204,5.90557e-05,-0.000253885,1.0,0.0,1571.99,1052560.0,0.000456784,0.0,0.000456784,0.00064599
0.00557302,4.62835e-05,-0.000253717,1.0,0.0,1591.37,1438820.0,0.000913568,0.0,0.000913568,0.00129198
0.00549617,9.61691e-05,-0.000287264,0.999999,0.0,1599.09,1358340.0,0.00168796,-0.000165165,0.000774394,0.00186445
0.0055,2.50002e-05,-0.000275,0.999998,0.0,1619.17,1409590.0,0.0027612,-0.000165165,0.00109923,0.00297655
0.00549617,9.61691e-05,-0.000287264,0.999999,0.0,1599.09,1358340.0,0.00168796,-0.000165165,0.000774394,0.00186445
