Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.0053,2.5006e-05,-7.4994e-05,0.99994,0.0,1665.9,1048940.0,-0.00568558,-0.000371817,0.00147561,0.00588571
0.00521638,9.56256e-05,-7.58717e-05,0.999803,0.0,1600.01,938888.0,-0.00184519,-0.000146533,0.00106225,0.00213415
0.00521978,4.33248e-05,-5.66752e-05,0.999864,0.0,1620.03,938979.0,-0.00307383,-0.000146533,0.00165449,0.00349389
0.00521638,9.56256e-05,-7.58717e-05,0.999803,0.0,1600.01,938888.0,-0.00184519,-0.000146533,0.00106225,0.00213415
0.0053,2.5006e-05,-7.4994e-05,0.99994,0.0,1665.9,1048940.0,-0.00568558,-0.000371817,0.00147561,0.00588571
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.0054,2.50036e-05,-7.49964e-05,0.999964,0.0,1709.31,1217480.0,-0.00727595,-0.000382501,0.000869073,0.00733765
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.0053,2.5006e-05,-7.4994e-05,0.99994,0.0,1665.9,1048940.0,-0.00568558,-0.000371817,0.00147561,0.00588571
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.0054,2.50036e-05,-7.49964e-05,0.999964,0.0,1709.31,1217480.0,-0.00727595,-0.000382501,0.000869073,0.00733765
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0055,2.50035e-05,-7.49965e-05,0.999965,0.0,1738.9,1380130.0,-0.00772223,-0.000218591,0.000178295,0.00772738
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.0054,2.50036e-05,-7.49964e-05,0.999964,0.0,1709.31,1217480.0,-0.00727595,-0.000382501,0.000869073,0.00733765
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.0055,2.50035e-05,-7.49965e-05,0.999965,0.0,1738.9,1380130.0,-0.00772223,-0.000218591,0.000178295,0.00772738
0.0056,0.0001,-9.99894e-05,0.999895,0.0,1724.51,1452180.0,-0.00570996,-8.12258e-05,-0.000488749,0.00573142
0.0056,2.50054e-05,-7.49946e-05,0.999946,0.0,1746.12,1512570.0,-0.00715857,1.79544e-05,-0.000541315,0.00717903
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0055,2.50035e-05,-7.49965e-05,0.999965,0.0,1738.9,1380130.0,-0.00772223,-0.000218591,0.000178295,0.00772738
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0056,2.50054e-05,-7.49946e-05,0.999946,0.0,1746.12,1512570.0,-0.00715857,1.79544e-05,-0.000541315,0.00717903
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.0057,2.50084e-05,-7.49916e-05,0.999916,0.0,1715.8,1580020.0,-0.0058333,0.000422762,-0.00122467,0.00597545
0.0056,0.0001,-9.99894e-05,0.999894,0.0,1724.51,1452180.0,-0.00570996,-8.12258e-05,-0.000488749,0.00573142
0.0056,2.50054e-05,-7.49946e-05,0.999946,0.0,1746.12,1512570.0,-0.00715857,1.79544e-05,-0.000541315,0.00717903
0.0056,0.0001,-9.99894e-05,0.999894,0.0,1724.51,1452180.0,-0.00570996,-8.12258e-05,-0.000488749,0.00573142
0.0057,2.50084e-05,-7.49916e-05,0.999916,0.0,1715.8,1580020.0,-0.0058333,0.000422762,-0.00122467,0.00597545
0.00578686,9.5761e-05,-7.83876e-05,0.999897,0.0,1618.82,1151840.0,-0.00210559,0.000343433,-0.00106107,0.00238271
0.00578626,3.98768e-05,-6.01231e-05,0.999944,0.0,1634.71,1557110.0,-0.00356022,0.000343433,-0.0018146,0.00401072
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.0057,2.50084e-05,-7.49916e-05,0.999916,0.0,1715.8,1580020.0,-0.0058333,0.000422762,-0.00122467,0.00597545
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.00578626,3.98768e-05,-6.01231e-05,0.999944,0.0,1634.71,1557110.0,-0.00356022,0.000343433,-0.0018146,0.00401072
0.00530549,0.000190239,-8.00041e-05,0.999854,0.0,1603.24,997111.0,-0.00121281,-0.000429395,0.000410352,0.00135044
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.00525,0.00015,-5e-05,0.999674,0.0,1552.68,960116.0,-0.000308274,-7.32663e-05,0.000235008,0.000394499
0.00521638,9.56256e-05,-7.58717e-05,0.999803,0.0,1600.01,938888.0,-0.00184519,-0.000146533,0.00106225,0.00213415
0.00525,0.00015,-5e-05,0.999674,0.0,1552.68,960116.0,-0.000308274,-7.32663e-05,0.000235008,0.000394499
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.0054004,0.000199605,-9.55847e-05,0.99992,0.0,1641.06,1091560.0,-0.0022522,-0.000665854,0.00025188,0.00236203
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.00530549,0.000190239,-8.00041e-05,0.999854,0.0,1603.25,997111.0,-0.00121281,-0.000429395,0.000410352,0.00135044
0.00530001,9.99924e-05,-9.93806e-05,0.99991,0.0,1648.51,1021480.0,-0.00401838,-0.00049356,0.00123268,0.00423208
0.00530549,0.000190239,-8.00041e-05,0.999854,0.0,1603.25,997111.0,-0.00121281,-0.000429395,0.000410352,0.00135044
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.0055,0.0002,-9.99923e-05,0.999923,0.0,1662.98,1228360.0,-0.00270554,-0.000467797,-9.90896e-05,0.00274747
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0054004,0.000199605,-9.55847e-05,0.99992,0.0,1641.06,1091560.0,-0.0022522,-0.000665854,0.00025188,0.00236203
0.0054,0.0001,-9.99937e-05,0.999937,0.0,1690.07,1171020.0,-0.00571606,-0.000619803,0.000824045,0.00580831
0.0054004,0.000199605,-9.55847e-05,0.99992,0.0,1641.06,1091560.0,-0.0022522,-0.000665854,0.00025188,0.00236203
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0056,0.0002,-9.99856e-05,0.999856,0.0,1666.78,1348740.0,-0.00228982,-0.000189383,-0.000416946,0.00233516
0.0056,0.0001,-9.99894e-05,0.999895,0.0,1724.51,1452180.0,-0.00570996,-8.12257e-05,-0.000488749,0.00573142
0.0055,0.0002,-9.99923e-05,0.999923,0.0,1662.98,1228360.0,-0.00270554,-0.000467797,-9.90896e-05,0.00274747
0.0055,0.0001,-9.99932e-05,0.999932,0.0,1718.02,1325690.0,-0.00630035,-0.000397842,0.000176796,0.00631537
0.0055,0.0002,-9.99923e-05,0.999923,0.0,1662.98,1228360.0,-0.00270554,-0.000467797,-9.90896e-05,0.00274747
0.0056,0.0001,-9.99894e-05,0.999895,0.0,1724.51,1452180.0,-0.00570996,-8.12257e-05,-0.000488749,0.00573142
0.00569609,0.000196095,-8.71491e-05,0.999824,0.0,1638.05,1432390.0,-0.00125743,0.000140405,-0.000395085,0.00132549
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.0056,0.0002,-9.99856e-05,0.999856,0.0,1666.78,1348740.0,-0.00228982,-0.000189383,-0.000416946,0.00233516
0.0056,0.0001,-9.99894e-05,0.999894,0.0,1724.51,1452180.0,-0.00570996,-8.12258e-05,-0.000488749,0.00573142
0.0056,0.0002,-9.99856e-05,0.999856,0.0,1666.78,1348740.0,-0.00228982,-0.000189383,-0.000416946,0.00233516
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.00575025,0.000156567,-5.0251e-05,0.999925,0.0,1569.9,731244.0,-0.000325482,0.000171717,-0.000153765,0.000398834
0.00578686,9.5761e-05,-7.83876e-05,0.999897,0.0,1618.82,1151840.0,-0.00210559,0.000343433,-0.00106107,0.00238271
0.00569609,0.000196095,-8.71491e-05,0.999824,0.0,1638.05,1432390.0,-0.00125743,0.000140405,-0.000395085,0.00132549
0.0057,0.0001,-9.99833e-05,0.999833,0.0,1695.48,1524120.0,-0.00414435,0.000387274,-0.000942199,0.00426771
0.00569609,0.000196095,-8.71491e-05,0.999824,0.0,1638.05,1432390.0,-0.00125743,0.000140405,-0.000395085,0.00132549
0.00578686,9.5761e-05,-7.83876e-05,0.999897,0.0,1618.82,1151840.0,-0.00210559,0.000343433,-0.00106107,0.00238271
0.00540673,0.000265818,-6.5818e-05,0.999965,0.0,1568.93,529287.0,-0.000174118,-0.000237302,-0.000137629,0.000324917
